sample,label,is_valid
task1\train_data\images\unlabeled\0.jpeg,28,False
task1\train_data\images\unlabeled\1.jpeg,96,False
task1\train_data\images\unlabeled\10.jpeg,28,False
task1\train_data\images\unlabeled\100.jpeg,39,False
task1\train_data\images\unlabeled\1000.jpeg,87,False
task1\train_data\images\unlabeled\10000.jpeg,11,False
task1\train_data\images\unlabeled\10001.jpeg,73,False
task1\train_data\images\unlabeled\10002.jpeg,14,False
task1\train_data\images\unlabeled\10003.jpeg,64,False
task1\train_data\images\unlabeled\10004.jpeg,48,False
task1\train_data\images\unlabeled\10005.jpeg,68,False
task1\train_data\images\unlabeled\10006.jpeg,84,False
task1\train_data\images\unlabeled\10007.jpeg,75,False
task1\train_data\images\unlabeled\10008.jpeg,1,False
task1\train_data\images\unlabeled\10009.jpeg,58,False
task1\train_data\images\unlabeled\1001.jpeg,88,False
task1\train_data\images\unlabeled\10010.jpeg,61,False
task1\train_data\images\unlabeled\10011.jpeg,91,False
task1\train_data\images\unlabeled\10012.jpeg,47,False
task1\train_data\images\unlabeled\10013.jpeg,54,False
task1\train_data\images\unlabeled\10014.jpeg,61,False
task1\train_data\images\unlabeled\10015.jpeg,51,False
task1\train_data\images\unlabeled\10016.jpeg,0,False
task1\train_data\images\unlabeled\10017.jpeg,56,False
task1\train_data\images\unlabeled\10018.jpeg,22,False
task1\train_data\images\unlabeled\10019.jpeg,14,False
task1\train_data\images\unlabeled\1002.jpeg,90,False
task1\train_data\images\unlabeled\10020.jpeg,68,False
task1\train_data\images\unlabeled\10021.jpeg,82,False
task1\train_data\images\unlabeled\10022.jpeg,12,False
task1\train_data\images\unlabeled\10023.jpeg,45,False
task1\train_data\images\unlabeled\10024.jpeg,95,False
task1\train_data\images\unlabeled\10025.jpeg,80,False
task1\train_data\images\unlabeled\10026.jpeg,81,False
task1\train_data\images\unlabeled\10027.jpeg,4,False
task1\train_data\images\unlabeled\10028.jpeg,28,False
task1\train_data\images\unlabeled\10029.jpeg,41,False
task1\train_data\images\unlabeled\1003.jpeg,22,False
task1\train_data\images\unlabeled\10030.jpeg,11,False
task1\train_data\images\unlabeled\10031.jpeg,8,False
task1\train_data\images\unlabeled\10032.jpeg,24,False
task1\train_data\images\unlabeled\10033.jpeg,37,False
task1\train_data\images\unlabeled\10034.jpeg,33,False
task1\train_data\images\unlabeled\10035.jpeg,15,False
task1\train_data\images\unlabeled\10036.jpeg,55,False
task1\train_data\images\unlabeled\10037.jpeg,21,False
task1\train_data\images\unlabeled\10038.jpeg,59,False
task1\train_data\images\unlabeled\10039.jpeg,29,False
task1\train_data\images\unlabeled\1004.jpeg,9,False
task1\train_data\images\unlabeled\10040.jpeg,19,False
